iter	Passed	Remaining
0	146	146564
1	148	74144
2	150	49911
3	152	37932
4	153	30574
5	154	25664
6	156	22145
7	157	19503
8	158	17451
9	160	15908
10	162	14572
11	163	13446
12	164	12494
13	165	11679
14	167	10967
15	168	10343
16	169	9793
17	170	9303
18	171	8863
19	174	8531
20	175	8174
21	176	7847
22	177	7541
23	178	7262
24	179	7005
25	180	6761
26	181	6535
27	182	6325
28	183	6130
29	183	5948
30	184	5778
31	185	5618
32	187	5503
33	189	5386
34	190	5261
35	191	5135
36	192	5015
37	193	4901
38	194	4793
39	195	4689
40	196	4591
41	197	4498
42	198	4409
43	199	4340
44	201	4271
45	203	4228
46	205	4160
47	206	4102
48	207	4034
49	208	3969
50	209	3906
51	211	3847
52	211	3786
53	213	3734
54	214	3692
55	216	3641
56	216	3589
57	217	3537
58	218	3487
59	219	3439
60	220	3392
61	221	3347
62	222	3303
63	223	3261
64	223	3219
65	224	3180
66	225	3142
67	226	3104
68	229	3091
69	230	3060
70	231	3026
71	232	2992
72	233	2959
73	233	2927
74	234	2896
75	235	2866
76	236	2836
77	237	2806
78	238	2778
79	239	2750
80	240	2723
81	241	2704
82	242	2676
83	243	2653
84	244	2630
85	245	2612
86	246	2589
87	247	2566
88	248	2543
89	249	2521
90	250	2499
91	251	2478
92	251	2457
93	252	2437
94	253	2416
95	254	2397
96	256	2388
97	257	2370
98	258	2352
99	259	2334
100	260	2317
101	261	2299
102	262	2282
103	262	2265
104	263	2248
105	264	2232
106	265	2216
107	266	2200
108	267	2185
109	268	2170
110	270	2164
111	271	2150
112	272	2136
113	273	2122
114	273	2107
115	274	2094
116	275	2078
117	276	2065
118	277	2052
119	278	2038
120	278	2026
121	279	2012
122	280	2001
123	281	1990
124	282	1978
125	284	1972
126	285	1960
127	286	1948
128	286	1937
129	287	1926
130	288	1915
131	289	1904
132	290	1893
133	291	1882
134	292	1871
135	292	1861
136	293	1851
137	294	1841
138	295	1831
139	296	1821
140	298	1818
141	299	1807
142	300	1798
