iter	Passed	Remaining
0	163	163438
1	167	83746
2	171	57151
3	176	43838
4	180	35990
5	185	30662
6	189	26833
7	193	23954
8	195	21546
9	198	19608
10	200	18041
11	203	16722
12	205	15609
13	208	14660
14	210	13834
15	213	13109
16	215	12470
17	218	11903
18	220	11399
19	222	10889
20	223	10425
21	225	10003
22	226	9616
23	227	9262
24	229	8935
25	230	8634
26	231	8356
27	233	8097
28	234	7856
29	236	7634
30	237	7424
31	238	7229
32	240	7042
33	241	6867
34	243	6702
35	244	6547
36	245	6399
37	247	6261
38	248	6129
39	250	6001
40	251	5877
41	252	5760
42	253	5647
43	254	5539
44	256	5436
45	257	5337
46	258	5243
47	259	5152
48	261	5066
49	262	4984
50	263	4906
51	264	4830
52	266	4757
53	267	4685
54	268	4617
55	270	4551
56	271	4487
57	272	4425
58	273	4365
59	274	4307
60	276	4252
61	277	4202
62	279	4150
63	280	4100
64	281	4051
65	282	4004
66	284	3957
67	285	3912
68	286	3867
69	287	3824
70	289	3783
71	290	3742
72	291	3705
73	293	3667
74	294	3630
75	295	3594
76	296	3559
77	298	3524
78	299	3490
79	300	3457
80	301	3424
81	303	3392
82	304	3362
83	305	3332
84	306	3304
85	308	3275
86	309	3247
87	310	3219
88	311	3192
89	313	3166
90	314	3140
91	315	3115
92	316	3090
93	318	3066
94	319	3045
95	320	3022
96	322	2999
97	323	2976
98	324	2954
99	325	2933
100	327	2911
101	328	2891
102	329	2871
103	330	2851
104	332	2831
105	333	2812
106	334	2793
107	335	2774
108	337	2756
109	338	2738
110	339	2721
111	340	2703
112	342	2686
113	343	2666
114	344	2650
115	345	2634
116	347	2618
117	348	2602
118	350	2598
119	352	2583
120	353	2569
121	354	2554
122	356	2539
123	357	2525
124	358	2511
125	360	2497
126	361	2483
127	362	2469
128	363	2456
129	365	2443
130	366	2430
131	367	2417
132	368	2404
133	370	2392
134	371	2379
135	372	2367
136	373	2355
137	375	2343
138	376	2332
139	377	2321
140	379	2310
141	380	2299
142	381	2287
143	382	2276
144	384	2265
145	385	2254
146	386	2244
147	387	2233
148	389	2222
149	390	2212
150	394	2218
151	396	2212
152	398	2204
153	399	2196
154	401	2187
155	402	2177
156	403	2168
157	405	2158
158	405	2146
159	407	2136
160	408	2127
161	409	2119
162	411	2110
163	412	2101
164	413	2094
165	415	2086
166	416	2077
167	417	2069
168	419	2060
169	420	2052
170	421	2044
171	422	2035
172	424	2027
173	425	2019
174	426	2011
175	428	2005
176	429	1999
177	431	1992
178	432	1985
179	434	1978
180	435	1971
181	437	1964
182	438	1957
183	439	1950
184	441	1943
185	442	1936
186	443	1928
187	445	1922
188	446	1915
189	447	1908
190	448	1901
191	450	1894
192	451	1887
193	452	1880
194	453	1873
195	455	1867
196	456	1861
197	458	1855
198	459	1849
199	460	1843
200	462	1836
201	463	1830
202	464	1823
203	465	1817
204	467	1811
205	468	1805
206	469	1799
207	471	1793
208	472	1788
209	473	1782
210	475	1777
211	476	1771
212	478	1766
213	479	1761
214	481	1756
215	482	1750
216	483	1745
217	485	1739
218	486	1734
219	487	1728
220	488	1723
221	490	1717
222	491	1712
223	492	1706
224	493	1700
225	494	1694
226	496	1689
227	497	1684
228	498	1679
229	500	1674
230	501	1669
231	502	1664
232	503	1658
233	505	1653
234	506	1648
235	507	1643
236	508	1638
237	510	1633
238	511	1628
239	512	1623
240	514	1619
241	515	1614
242	516	1609
243	517	1604
244	519	1599
245	520	1594
246	521	1590
247	522	1585
248	524	1580
249	525	1576
250	527	1572
251	528	1568
252	529	1564
253	531	1559
254	532	1555
255	533	1550
256	534	1546
257	536	1541
258	537	1537
259	538	1533
260	539	1528
261	541	1524
262	542	1520
263	543	1516
264	545	1512
265	546	1507
266	547	1503
267	548	1499
268	550	1495
269	551	1490
270	552	1486
271	554	1483
272	555	1479
273	556	1475
